Slide;Cell_nb;SC_fragment;SC_length;MLH1_foci_nb;MLH1_foci_position
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;5;1;6;1;0,88
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;5;1;6;2;3,11
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;5;1;6;3;4,34
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;5;2;1,23;0;
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;5;3;1,41;1;0,52
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;5;4;0,91;1;0,12
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;5;5;0,74;0;
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;1;6,12;1;0,8
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;1;6,12;2;2,97
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;1;6,12;3;4,16
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;2;1,29;1;
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;3;1,28;0;
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;4;0,32;0;
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;5;1,39;0;
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;6;0,71;0;
AH_180723SP8_Sine3mut_HEI10chik568_MLH1lap488_ZYPrat647_AC030523l5-1;6;7;0,83;1;0,19
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;1;12;1;0,8
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;1;12;2;9,9
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;1;12;3;11,4
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;2;18,4;1;1,06
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;2;18,4;2;4,56
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;2;18,4;3;10,3
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;2;18,4;4;11,4
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;2;18,4;5;16,6
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;2;3;2,08;0;
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;1;1,63;1;0,71
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;2;2,09;1;0,52
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;3;2,7;1;0,58
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;4;8,04;1;0,92
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;4;8,04;2;3,93
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;4;8,04;3;4,68
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;5;16,3;1;0,22
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;5;16,3;2;6,33
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;5;16,3;3;9,76
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;3;5;16,3;4;15,9
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;1;0,87;0;
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;2;2,34;1;0,07
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;2;2,34;2;1,22
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;3;10,8;1;3,13
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;3;10,8;2;5,16
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;3;10,8;3;9,57
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;4;9,87;1;0,85
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;4;9,87;2;2,41
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;4;9,87;3;5,27
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;5;9,41;1;0,24
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;5;9,41;2;7,57
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;4;5;9,41;3;8,54
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;1;3,17;0;
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;2;15,3;1;1,26
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;2;15,3;2;7,95
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;2;15,3;3;9,51
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;3;16;1;0,53
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;3;16;2;2,47
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;3;16;3;5,25
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;3;16;4;15,2
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;4;16,5;1;0,25
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;4;16,5;2;7,84
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;6;4;16,5;3;16,5
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;22;1;9,74;1;1,18
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;22;1;9,74;2;2,54
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;22;1;9,74;3;5,24
AC_030823SP8_sine3mut_HEI10chick647_MLH1lap488_ZYP1rat568_AC200323l4;22;1;9,74;4;8,63
